Strain	Code
Diatom;Brebissonia;Brebissonia lanceolata;BREB-01;KJ011806;	BREB-01
Diatom;Cymbella;Cymbella mexicana;CYMB-12;KJ011807;	CYMB-12
Diatom;Cymbella;Cymbella stuxbergia;CYMB-13;KJ011810;	CYMB-13
Diatom;Cymbella;Cymbella stuxbergia;CYMB-13;KJ011811;	CYMB-13
Diatom;Cymbella;Cymbella aspera;CM005A;KJ011797;	CM005A
Diatom;Cymbella;Cymbella aspera;CM005A;KJ011798;	CM005A
Diatom;Cymbella;Cymbella aspera;CM005A;KJ011799;	CM005A
Diatom;Cymbella;Cymbella baicalensis;CYMB-09;KJ011800;	CYMB-09
Diatom;Cymbella;Cymbella cistula;CM006A;KJ011802;	CM006A
Diatom;Cymbella;Cymbella cistula;CM006A;KJ011801;	CM006A
Diatom;Cymbella;Cymbella proxima;CM030A;KJ011808;	CM030A
Diatom;Cymbella;Cymbella tumida;CM042A;KJ011812;	CM042A
Diatom;Cymbella;Cymbella tumida;CM042A;KJ011813;	CM042A
Diatom;Diatoma;Diatoma tenue;DT004A;HQ912486;	DT004A
Diatom;Diatoma;Diatoma tenue;DT004A;HQ912457;	DT004A
Diatom;Encyonema;Encyonema caespitosum;EY002A;KJ011825;	EY002A
Diatom;Encyonema;Encyonema triangulum;ENCY-10;KJ011828;	ENCY-10
Diatom;Encyonema;Encyonema macedonicum;ENCY-08;KJ011821;	ENCY-08
Diatom;Encyonema;Encyonema minutum;EY011A;KJ011822;	EY011A
Diatom;Encyonema;Encyonema minutum;EY011A;KJ011824;	EY011A
Diatom;Encyonema;Encyonema minutum;EY011A;KJ011824;	EY011A
Diatom;Encyonema;Encyonema norvegicum;ENCY-09;KJ011826;	ENCY-09
Diatom;Encyonema;Encyonema prostratum;EY004A;KJ011827;	EY004A
Diatom;Encyonopsis;Encyonopsis;ENCS-08;KJ011829;	ENCS-08
Diatom;Entomoneis;Entomoneis ornata;EN001A;HQ912397;	EN001A
Diatom;Eunotia;Eunotia bilunaris;EU070A;HQ912463;	EU070A
Diatom;Eunotia;Eunotia latitaenia;EUNO-05;KT288152;	EUNO-05
Diatom;Eunotia;Eunotia latitaenia;EUNO-05;KT288153;	EUNO-05
Diatom;Eunotia;Eunotia latitaenia;EUNO-05;KT288154;	EUNO-05
Diatom;Eunotia;Eunotia latitaenia;EUNO-05;KT288155;	EUNO-05
Diatom;Eunotia;Eunotia latitaenia;EUNO-05;KT288156;	EUNO-05
Diatom;Eunotia;Eunotia latitaenia;EUNO-05;KT288157;	EUNO-05
Diatom;Eunotia;Eunotia glacialis;EU024A;HQ912450;	EU024A
Diatom;Eunotia;Eunotia minor;EU110A;AY571744;	EU110A
Diatom;Eunotia;Eunotia pectinalis;EU002A;HQ912500;	EU002A
Diatom;Fallacia;Fallacia monoculata;FA016A;HQ912460;	FA016A
Diatom;Fragilaria;Fragilaria bidens;FR026A;AB430676;	FR026A
Diatom;Fragilaria;Fragilaria crotonensis;FR008A;KF959640;	FR008A
Diatom;Fragilaria;Fragilaria famelica;FRAG-10;HQ912452;	FRAG-10
Diatom;Fragilaria;Fragilaria perminuta;ZZZ842;KF959650;	ZZZ842
Diatom;Fragilariforma;Fragilariforma virescens;FF001A;HQ912492;	FF001A
Diatom;Gomphoneis;Gomphoneis minuta;GOMP-10;KJ011831;	GOMP-10
Diatom;Gomphonema;Gomphonema clevei;GO024C;JQ354682;	GO024C
Diatom;Gomphonema;Gomphonema acuminatum;GO006A;KJ011853;	GO006A
Diatom;Gomphonema;Gomphonema affine;GO020A;KJ011833;	GO020A
Diatom;Gomphonema;Gomphonema affine;GO020A;HQ912472;	GO020A
Diatom;Gomphonema;Gomphonema affine;GO020A;KJ011834;	GO020A
Diatom;Gomphonema;Gomphonema angustatum;GO003A;KJ011835;	GO003A
Diatom;Gomphonema;Gomphonema bourbonense;GOMP-11;KC736595;	GOMP-11
Diatom;Gomphonema;Gomphonema brebissonii;GO028A;KJ011836;	GO028A
Diatom;Gomphonema;Gomphonema capitatum;GO031A;AY571751;	GO031A
Diatom;Gomphonema;Gomphonema carolinense;GOMP-12;KJ011837;	GOMP-12
Diatom;Gomphonema;Gomphonema lagenula;GOMP-13;JQ354681;	GOMP-13
Diatom;Gomphonema;Gomphonema clevei;GO024C;JQ354694;	GO024C
Diatom;Gomphonema;Gomphonema clevei;GO024C;KC736598;	GO024C
Diatom;Gomphonema;Gomphonema dichotomum;GO036A;KJ011838;	GO036A
Diatom;Gomphonema;Gomphonema vibrio;GO025H;KJ011841;	GO025H
Diatom;Gomphonema;Gomphonema lagenula;GOMP-13;HG530054;	GOMP-13
Diatom;Gomphonema;Gomphonema lagenula;GOMP-13;HG530055;	GOMP-13
Diatom;Gomphonema;Gomphonema narodoense;GOMP-15;HG530052;	GOMP-15
Diatom;Gomphonema;Gomphonema narodoense;GOMP-15;HG530053;	GOMP-15
Diatom;Gomphonema;Gomphonema saprophilum;GOMP-16;HG530036;	GOMP-16
Diatom;Gomphonema;Gomphonema saprophilum;GOMP-16;HG530051;	GOMP-16
Diatom;Gomphonema;Gomphonema saprophilum;GOMP-16;HG530056;	GOMP-16
Diatom;Gomphonema;Gomphonema subclavatum;GOMP-17;KJ011848;	GOMP-17
Diatom;Gomphonema;Gomphonema subclavatum;GOMP-17;KJ011849;	GOMP-17
Diatom;Gomphonema;Gomphonema lagenula;GOMP-13;HG530054;	GOMP-13
Diatom;Gomphonema;Gomphonema parvulum;GO013A;HQ912459;	GO013A
Diatom;Gomphonema;Gomphonema saprophilum;GOMP-16;HG530051;	GOMP-16
Diatom;Gyrosigma;Gyrosigma acuminatum;GY005A;HQ912462;	GY005A
Diatom;Hantzschia;Hantzschia amphioxys var. major;HA001F;HQ912390;	HA001F
Diatom;Karayevia;Karayevia;KARA-04;KM084931;	KARA-04
Diatom;Lemnicola;Lemnicola hungarica;ZZZ900;HQ912490;	ZZZ900
Diatom;Lemnicola;Lemnicola hungarica;ZZZ900;KJ658388;	ZZZ900
Diatom;Luticola;Luticola sparsipunctata;LUTI-02;KM084940;	LUTI-02
Diatom;Mayamaea;Mayamaea atomus var. permitis;MAYA-03;KM084957;	MAYA-03
Diatom;Mayamaea;Mayamaea terrestris;MAYA-06;KM084975;	MAYA-06
Diatom;Melosira;Melosira varians;ME015A;KC309611;	ME015A
Diatom;Melosira;Melosira moniliformis;ME035A;KM592936;	ME035A
Diatom;Navicula;Navicula cryptocephala;NA007A;KM999112;	NA007A
Diatom;Navicula;Navicula duerrenbergiana;NA742A;AY571749;	NA742A
Diatom;Navicula;Navicula cryptocephala;NA007A;HQ912467;	NA007A
Diatom;Navicula;Navicula cryptocephala;NA007A;KC736601;	NA007A
