Strain	Code
Diatom;Sellaphora;Sellaphora auldreekie;SELL-13;EF143320;	SELL-13
Diatom;Sellaphora;Sellaphora blackfordensis;SELL-14;EF143319;	SELL-14
Diatom;Sellaphora;Sellaphora lanceolata;SELL-17;EF143315;	SELL-17
Diatom;Sellaphora;Sellaphora laevissima;ZZZ864;EF143313;	ZZZ864
Diatom;Sellaphora;Sellaphora bacillum;ZZZ925;EF143311;	ZZZ925
Diatom;Sellaphora;Sellaphora blackfordensis;SELL-14;EF143310;	SELL-14
Diatom;Sellaphora;Sellaphora laevissima;ZZZ864;EF143309;	ZZZ864
Diatom;Sellaphora;Sellaphora laevissima;ZZZ864;EF143307;	ZZZ864
Diatom;Sellaphora;Sellaphora lanceolata;SELL-17;EF143305;	SELL-17
Diatom;Sellaphora;Sellaphora auldreekie;SELL-13;EF143303;	SELL-13
Diatom;Sellaphora;Sellaphora laevissima;ZZZ864;EF143293;	ZZZ864
Diatom;Sellaphora;Sellaphora pupula;SL001A;EF143291;	SL001A
Diatom;Sellaphora;Sellaphora blackfordensis;SELL-14;EF143290;	SELL-14
Diatom;Sellaphora;Sellaphora bacillum;ZZZ925;EF143284;	ZZZ925
Diatom;Sellaphora;Sellaphora blackfordensis;SELL-14;EF143283;	SELL-14
Diatom;Sellaphora;Sellaphora blackfordensis;SELL-14;EF143282;	SELL-14
Diatom;Sellaphora;Sellaphora seminulum;SL002A;EF143280;	SL002A
Diatom;Sellaphora;Sellaphora minima;SL003A;EF143279;	SL003A
Diatom;Sellaphora;Sellaphora auldreekie;SELL-13;EF143277;	SELL-13
Diatom;Sellaphora;Sellaphora auldreekie;SELL-13;EF143276;	SELL-13
Diatom;Sellaphora;Sellaphora bacillum;ZZZ925;EF143273;	ZZZ925
Diatom;Sellaphora;Sellaphora auldreekie;SELL-13;EF143268;	SELL-13
Diatom;Sellaphora;Sellaphora auldreekie;SELL-13;EF143267;	SELL-13
Diatom;Sellaphora;Sellaphora laevissima;ZZZ864;EF143265;	ZZZ864
Diatom;Sellaphora;Sellaphora laevissima;ZZZ864;EF143263;	ZZZ864
Diatom;Sellaphora;Sellaphora bacillum;ZZZ925;AY571745;	ZZZ925
Diatom;Pinnularia;Pinnularia gibba;PI001A;EF143304;	PI001A
Diatom;Seminavis;Seminavis robusta;SEMI-02;EF143299;	SEMI-02
Diatom;Fallacia;Fallacia forcipata;FA007A;EF143289;	FA007A
Diatom;Navicula;Navicula;NA9999;EF143288;	NA9999
Diatom;Paralia;Paralia sulcata;PA001A;EF143287;	PA001A
Diatom;Rossia;Rossia;ROSA-01;EF143281;	ROSA-01
Diatom;Fallacia;Fallacia;FA9999;EF143274;	FA9999
Diatom;Stauroneis;Stauroneis phoenicenteron;SA006A;KM084992;	SA006A
Diatom;Stauroneis;Stauroneis unknown;STAR-03;HQ912443;	STAR-03
Diatom;Fragilaria;Fragilaria construens;FR002A;HQ828194;	FR002A
Diatom;Fragilaria;Fragilaria construens;FR002A;HQ912451;	FR002A
Diatom;Staurosira;Staurosira construens;SR001A;KM592937;	SR001A
Diatom;Staurosirella;Staurosirella pinnata;SS002A;HQ912484;	SS002A
Diatom;Stenopterobia;Stenopterobia pumila;STEN-01;JX033016;	STEN-01
Diatom;Stenopterobia;Stenopterobia curvula;SP006A;HQ912402;	SP006A
Diatom;Stenopterobia;Stenopterobia pumila;STEN-01;JX033016;	STEN-01
Diatom;Stephanodiscus;Stephanodiscus agassizensis;STEP-01;DQ514823;	STEP-01
Diatom;Stephanodiscus;Stephanodiscus binderanus;ST015A;DQ514824;	ST015A
Diatom;Stenopterobia;Stenopterobia;SP9999;DQ514825;	SP9999
Diatom;Stephanodiscus;Stephanodiscus minutulus;ST021A;DQ514828;	ST021A
Diatom;Stephanodiscus;Stephanodiscus neoastraea;ST022A;DQ514834;	ST022A
Diatom;Stephanodiscus;Stephanodiscus niagarae;ST006A;DQ514835;	ST006A
Diatom;Stephanodiscus;Stephanodiscus niagarae;ST006A;DQ514836;	ST006A
Diatom;Stephanodiscus;Stephanodiscus yellowstonensis;STEP-02;DQ514838;	STEP-02
Diatom;Stephanodiscus;Stephanodiscus minutulus;ST021A;DQ514839;	ST021A
Diatom;Stephanodiscus;Stephanodiscus hantzschii;ST001A;DQ514842;	ST001A
Diatom;Stephanodiscus;Stephanodiscus minutulus;ST021A;DQ514843;	ST021A
Diatom;Stephanodiscus;Stephanodiscus minutulus;ST021A;DQ514844;	ST021A
Diatom;Surirella;Surirella bifrons;SU074A;JX032985;	SU074A
Diatom;Surirella;Surirella splendida;SURI-07;JX032987;	SURI-07
Diatom;Surirella;Surirella bifrons;SU074A;JX032988;	SU074A
Diatom;Surirella;Surirella bifrons;SU074A;JX032989;	SU074A
Diatom;Surirella;Surirella bifrons;SU074A;JX032994;	SU074A
Diatom;Surirella;Surirella tenuissima;SURI-01;JX033010;	SURI-01
Diatom;Surirella;Surirella costata;SURI-02;JX032949;	SURI-02
Diatom;Surirella;Surirella iconella;SURI-04;JX032956;	SURI-04
Diatom;Surirella;Surirella imbuta;SURI-05;JX032963;	SURI-05
Diatom;Surirella;Surirella lineopunctata;SURI-06;JX032959;	SURI-06
Diatom;Surirella;Surirella splendida;SURI-07;HQ912401;	SURI-07
Diatom;Surirella;Surirella splendida;SURI-07;JX032965;	SURI-07
Diatom;Surirella;Surirella tenera;SU007A;JX033003;	SU007A
Diatom;Surirella;Surirella tenuissima;SURI-01;JX033010;	SURI-01
Diatom;Surirella;Surirella tenera;SU007A;JX033012;	SU007A
Diatom;Surirella;Surirella linearis var. helvetica;SU005C;JX032972;	SU005C
Diatom;Surirella;Surirella angusta;SU001A;JX033020;	SU001A
Diatom;Surirella;Surirella biseriata;SU004A;JX033009;	SU004A
Diatom;Surirella;Surirella capronii;SU024A;JX033000;	SU024A
Diatom;Surirella;Surirella capronii;SU024A;JX032966;	SU024A
Diatom;Surirella;Surirella bifrons;SU074A;JX032979;	SU074A
Diatom;Surirella;Surirella bifrons;SU074A;JX032985;	SU074A
Diatom;Surirella;Surirella bifrons;SU074A;JX032988;	SU074A
Diatom;Surirella;Surirella bifrons;SU074A;JX032989;	SU074A
Diatom;Surirella;Surirella bifrons;SU074A;JX032994;	SU074A
Diatom;Surirella;Surirella bifrons;SU074A;JX032999;	SU074A
Diatom;Surirella;Surirella biseriata;SU004A;JX033006;	SU004A
Diatom;Surirella;Surirella helissella;SURI-03;JX032955;	SURI-03
Diatom;Surirella;Surirella iconella;SURI-04;JX032956;	SURI-04
Diatom;Surirella;Surirella imbuta;SURI-05;JX032963;	SURI-05
Diatom;Surirella;Surirella linearis var. helvetica;SU005C;JX032972;	SU005C
Diatom;Surirella;Surirella linearis var. helvetica;SU005C;JX032973;	SU005C
Diatom;Surirella;Surirella linearis var. helvetica;SU005C;JX032983;	SU005C
Diatom;Surirella;Surirella lineopunctata;SURI-06;JX032959;	SURI-06
Diatom;Surirella;Surirella ovalis;SU003A;JX033019;	SU003A
Diatom;Surirella;Surirella ovalis;SU003A;JX033019;	SU003A
Diatom;Surirella;Surirella splendida;SURI-07;JX032965;	SURI-07
Diatom;Surirella;Surirella splendida;SURI-07;JX032970;	SURI-07
Diatom;Surirella;Surirella splendida;SURI-07;JX032971;	SURI-07
Diatom;Surirella;Surirella splendida;SURI-07;JX032975;	SURI-07
Diatom;Campylodiscus;Campylodiscus hibernicus;CP017A;JX032980;	CP017A
Diatom;Surirella;Surirella splendida;SURI-07;JX032981;	SURI-07
Diatom;Surirella;Surirella splendida;SURI-07;JX032982;	SURI-07
Diatom;Surirella;Surirella splendida;SURI-07;JX032987;	SURI-07
Diatom;Surirella;Surirella splendida;SURI-07;JX032990;	SURI-07
Diatom;Surirella;Surirella splendida;SURI-07;JX032995;	SURI-07
Diatom;Surirella;Surirella tenera;SU007A;JX033003;	SU007A
Diatom;Ulnaria;Ulnaria ulna;ULNA-02;HQ912454;	ULNA-02
Diatom;Synedropsis;Synedropsis recta;SYND-05;HQ912480;	SYND-05
Diatom;Tabellaria;Tabellaria flocculosa;TA001A;HQ912448;	TA001A
Diatom;Tabularia;Tabularia laevis;TABU-02;AB430690;	TABU-02
Diatom;Tabularia;Tabularia tabulata;TABU-01;HQ912479;	TABU-01
Diatom;Thalassiosira;Thalassiosira punctigera;THAL-02;DQ514807;	THAL-02
Diatom;Thalassiosira;Thalassiosira punctigera;THAL-02;DQ514815;	THAL-02
Diatom;Tryblionella;Tryblionella apiculata;TF003A;HQ912464;	TF003A
Diatom;Fragilaria;Fragilaria gracilis;FRAG-11;5;	FRAG-11
Diatom;Cymbella;Cymbella;CM9999;6;	CM9999
Diatom;Achnanthidium;Achnanthidium minutissimum;ZZZ959;7;	ZZZ959
Diatom;Diatoma;Diatoma moniliformis;DT022A;8;	DT022A
Diatom;Fragilaria;Fragilaria pararumpens;FRAG-03;9;	FRAG-03
Diatom;Fragilaria;Fragilaria gracilis;FRAG-11;12;	FRAG-11
Diatom;Tabellaria;Tabellaria flocculosa;TA001A;13;	TA001A
Diatom;Fragilaria;Fragilaria;FR9999;15;	FR9999
Diatom;Fragilaria;Fragilaria gracilis;FRAG-11;18;	FRAG-11
Diatom;Diatoma;Diatoma tenue;DT004A;23;	DT004A
Diatom;Ulnaria;Ulnaria acus;ULNA-01;24;	ULNA-01
Diatom;Fragilaria;Fragilaria radians;FR059A;27;	FR059A
Diatom;Cymbella;Cymbella;CM9999;29;	CM9999
Diatom;Diatoma;Diatoma moniliformis;DT022A;30;	DT022A
Diatom;Navicula;Navicula radiosa;NA003A;31;	NA003A
Diatom;Fragilaria;Fragilaria;FR9999;32;	FR9999
Diatom;Fragilaria;Fragilaria gracilis;FRAG-11;34;	FRAG-11
Diatom;Diatoma;Diatoma moniliformis;DT022A;35;	DT022A
Diatom;Navicula;Navicula gregaria;NA023A;36;	NA023A
Diatom;Fragilaria;Fragilaria perminuta;ZZZ842;38;	ZZZ842
Diatom;Fragilaria;Fragilaria vaucheriae;FR007A;41;	FR007A
Diatom;Fragilaria;Fragilaria vaucheriae;FR007A;42;	FR007A
Diatom;Fragilaria;Fragilaria perminuta;ZZZ842;43;	ZZZ842
Diatom;Navicula;Navicula lanceolata;NA009B;44;	NA009B
Diatom;Fragilaria;Fragilaria vaucheriae;FR007A;46;	FR007A
Diatom;Fragilaria;Fragilaria gracilis;FRAG-11;47;	FRAG-11
Diatom;Fragilaria;Fragilaria pararumpens;FRAG-03;48;	FRAG-03
Diatom;Diatoma;Diatoma moniliformis;DT022A;49;	DT022A
Diatom;Diatoma;Diatoma moniliformis;DT022A;50;	DT022A
Diatom;Diatoma;Diatoma moniliformis;DT022A;52;	DT022A
Diatom;Navicula;Navicula lanceolata;NA009B;55;	NA009B
Diatom;Fragilaria;Fragilaria pararumpens;FRAG-03;56;	FRAG-03
Diatom;Pinnularia;Pinnularia grunowii;PINN-03;57;	PINN-03
Diatom;Achnanthidium;Achnanthidium pyrenaicum;ACHD-02;58;	ACHD-02
Diatom;Ulnaria;Ulnaria ulna;ULNA-02;61;	ULNA-02
Diatom;Gomphonema;Gomphonema micropus;GO049A;62;	GO049A
Diatom;Gomphonema;Gomphonema micropus;GO049A;63;	GO049A
Diatom;Navicula;Navicula cryptocephala;NA007A;66;	NA007A
Diatom;Navicula;Navicula radiosa;NA003A;68;	NA003A
Diatom;Navicula;Navicula radiosa;NA003A;69;	NA003A
Diatom;Encyonema;Encyonema silesiacum;EY016A;71;	EY016A
Diatom;Navicula;Navicula lanceolata;NA009B;72;	NA009B
Diatom;Planothidium;Planothidium lanceolatum;ZZZ897;77;	ZZZ897
Diatom;Amphora;Amphora pediculus;AM012B;79;	AM012B
Diatom;Navicula;Navicula cryptotenella;NA751A;81;	NA751A
Diatom;Adlafia;Adlafia minuscula;ADLA-03;82;	ADLA-03
Diatom;Navicula;Navicula lanceolata;NA009B;84;	NA009B
Diatom;Fragilaria;Fragilaria gracilis;FRAG-11;85;	FRAG-11
Diatom;Amphora;Amphora pediculus;AM012B;87;	AM012B
Diatom;Eunotia;Eunotia minor;EU110A;88;	EU110A
Diatom;Gomphonema;Gomphonema clavatum;GO029A;90;	GO029A
Diatom;Ulnaria;Ulnaria ulna;ULNA-02;91;	ULNA-02
Diatom;Eunotia;Eunotia minor;EU110A;92;	EU110A
Diatom;Nitzschia;Nitzschia palea;NI009A;95;	NI009A
Diatom;Eunotia;Eunotia exigua;EU009A;101;	EU009A
Diatom;Eunotia;Eunotia bilunaris;EU070A;102;	EU070A
Diatom;Peronia;Peronia fibula;PE002A;104;	PE002A
Diatom;Pinnularia;Pinnularia subcapitata;PI022A;105;	PI022A
Diatom;Tabellaria;Tabellaria flocculosa;TA001A;107;	TA001A
Diatom;Navicula;Navicula angusta;NA037A;108;	NA037A
Diatom;Pinnularia;Pinnularia subcapitata;PI022A;111;	PI022A
Diatom;Nitzschia;Nitzschia palea;NI009A;116;	NI009A
Diatom;Nitzschia;Nitzschia palea;NI009A;117;	NI009A
Diatom;Gomphonema;Gomphonema exilissimum;GOMP-09;120;	GOMP-09
Diatom;Fragilaria;Fragilaria gracilis;FRAG-11;121;	FRAG-11
Diatom;Pinnularia;Pinnularia;PI9999;122;	PI9999
Diatom;Gomphonema;Gomphonema hebridense;GO074A;123;	GO074A
Diatom;Gomphonema;Gomphonema hebridense;GO074A;124;	GO074A
Diatom;Brachysira;Brachysira neoexilis;BR010A;125;	BR010A
Diatom;Pinnularia;Pinnularia;PI9999;126;	PI9999
Diatom;Gomphonema;Gomphonema hebridense;GO074A;130;	GO074A
Diatom;Gomphonema;Gomphonema parvulum;GO013A;134;	GO013A
Diatom;Fragilaria;Fragilaria gracilis;FRAG-11;135;	FRAG-11
Diatom;Tabellaria;Tabellaria flocculosa;TA001A;136;	TA001A
Diatom;Gomphonema;Gomphonema exilissimum;GOMP-09;137;	GOMP-09
Diatom;Fragilaria;Fragilaria gracilis;FRAG-11;143;	FRAG-11
Diatom;Brachysira;Brachysira vitrea;BR001A;144;	BR001A
Diatom;Achnanthidium;Achnanthidium minutissimum;ZZZ959;145;	ZZZ959
Diatom;Tabellaria;Tabellaria flocculosa;TA001A;146;	TA001A
Diatom;Eunotia;Eunotia exigua;EU009A;150;	EU009A
Diatom;Fragilaria;Fragilaria gracilis;FRAG-11;153;	FRAG-11
Diatom;Gomphonema;Gomphonema exilissimum;GOMP-09;156;	GOMP-09
Diatom;Pinnularia;Pinnularia subcapitata;PI022A;159;	PI022A
Diatom;Gomphonema;Gomphonema parvulum;GO013A;164;	GO013A
Diatom;Gomphonema;Gomphonema exilissimum;GOMP-09;165;	GOMP-09
Diatom;Gomphonema;Gomphonema parvulum;GO013A;168;	GO013A
Diatom;Fragilaria;Fragilaria vaucheriae;FR007A;171;	FR007A
Diatom;Achnanthidium;Achnanthidium minutissimum;ZZZ959;176;	ZZZ959
Diatom;Fragilaria;Fragilaria gracilis;FRAG-11;177;	FRAG-11
Diatom;Achnanthidium;Achnanthidium minutissimum;ZZZ959;180;	ZZZ959
Diatom;Fragilaria;Fragilaria gracilis;FRAG-11;185;	FRAG-11
Diatom;Gomphonema;Gomphonema hebridense;GO074A;186;	GO074A
Diatom;Tabellaria;Tabellaria flocculosa;TA001A;189;	TA001A
Diatom;Pinnularia;Pinnularia microstauron;PI011A;190;	PI011A
Diatom;Fragilaria;Fragilaria pararumpens;FRAG-03;191;	FRAG-03
Diatom;Nitzschia;Nitzschia palea;NI009A;193;	NI009A
Diatom;Fragilaria;Fragilaria pararumpens;FRAG-03;195;	FRAG-03
Diatom;Fragilaria;Fragilaria pararumpens;FRAG-03;196;	FRAG-03
Diatom;Fragilaria;Fragilaria pararumpens;FRAG-03;199;	FRAG-03
Diatom;Gomphonema;Gomphonema hebridense;GO074A;200;	GO074A
Diatom;Fragilaria;Fragilaria pararumpens;FRAG-03;203;	FRAG-03
Diatom;Gomphonema;Gomphonema hebridense;GO074A;204;	GO074A
Diatom;Achnanthidium;Achnanthidium minutissimum;ZZZ959;206;	ZZZ959
Diatom;Achnanthidium;Achnanthidium minutissimum;ZZZ959;208;	ZZZ959
Diatom;Nitzschia;Nitzschia palea;NI009A;210;	NI009A
Diatom;Gomphonema;Gomphonema hebridense;GO074A;211;	GO074A
Diatom;Pinnularia;Pinnularia subcapitata;PI022A;212;	PI022A
Diatom;Ulnaria;Ulnaria ulna;ULNA-02;220;	ULNA-02
Diatom;Nitzschia;Nitzschia palea;NI009A;225;	NI009A
Diatom;Nitzschia;Nitzschia palea;NI009A;227;	NI009A
Diatom;Nitzschia;Nitzschia palea;NI009A;234;	NI009A
Diatom;Nitzschia;Nitzschia palea;NI009A;236;	NI009A
Diatom;Nitzschia;Nitzschia palea;NI009A;240;	NI009A
Diatom;Fragilaria;Fragilaria pararumpens;FRAG-03;243;	FRAG-03
Diatom;Fragilaria;Fragilaria pararumpens;FRAG-03;247;	FRAG-03
Diatom;Gomphonema;Gomphonema hebridense;GO074A;250;	GO074A
Diatom;Tabellaria;Tabellaria flocculosa;TA001A;252;	TA001A
Diatom;Frustulia;Frustulia crassinveria;FRUS-03;256;	FRUS-03
Diatom;Tabellaria;Tabellaria flocculosa;TA001A;257;	TA001A
Diatom;Encyonema;Encyonema;EY9999;258;	EY9999
Diatom;Encyonopsis;Encyonopsis falaisensis;ENCS-07;265;	ENCS-07
Diatom;Fragilaria;Fragilaria gracilis;FRAG-11;266;	FRAG-11
Diatom;Eunotia;Eunotia bilunaris;EU070A;267;	EU070A
Diatom;Eunotia;Eunotia exigua;EU009A;271;	EU009A
Diatom;Frustulia;Frustulia crassinveria;FRUS-03;272;	FRUS-03
Diatom;Navicula;Navicula lanceolata;NA009B;274;	NA009B
Diatom;Navicula;Navicula lanceolata;NA009B;275;	NA009B
Diatom;Nitzschia;Nitzschia palea;NI009A;277;	NI009A
Diatom;Navicula;Navicula lanceolata;NA009B;280;	NA009B
Diatom;Navicula;Navicula lanceolata;NA009B;284;	NA009B
Diatom;Cyclotella;Cyclotella meneghiniana;CY003A;285;	CY003A
Diatom;Navicula;Navicula lanceolata;NA009B;286;	NA009B
Diatom;Surirella;Surirella brebissonii;SU073A;290;	SU073A
Diatom;Navicula;Navicula lanceolata;NA009B;294;	NA009B
Diatom;Navicula;Navicula lanceolata;NA009B;296;	NA009B
Diatom;Navicula;Navicula lanceolata;NA009B;297;	NA009B
Diatom;Melosira;Melosira varians;ME015A;298;	ME015A
Diatom;Navicula;Navicula lanceolata;NA009B;299;	NA009B
Diatom;Navicula;Navicula lanceolata;NA009B;300;	NA009B
Diatom;Thalassiosira;Thalassiosira weissfloggii;THAL-01;302;	THAL-01
Diatom;Navicula;Navicula gregaria;NA023A;303;	NA023A
Diatom;Surirella;Surirella brebissonii;SU073A;304;	SU073A
Diatom;Melosira;Melosira varians;ME015A;306;	ME015A
Diatom;Nitzschia;Nitzschia palea;NI009A;309;	NI009A
Diatom;Gomphonema;Gomphonema pumilum;GO080A;311;	GO080A
Diatom;Navicula;Navicula gregaria;NA023A;312;	NA023A
Diatom;Encyonema;Encyonema minutum;EY011A;314;	EY011A
Diatom;Navicula;Navicula gregaria;NA023A;316;	NA023A
Diatom;Encyonema;Encyonema;EY9999;318;	EY9999
Diatom;Fragilaria;Fragilaria gracilis;FRAG-11;319;	FRAG-11
Diatom;Surirella;Surirella brebissonii;SU073A;320;	SU073A
Diatom;Navicula;Navicula lanceolata;NA009B;321;	NA009B
Diatom;Navicula;Navicula lanceolata;NA009B;322;	NA009B
Diatom;Navicula;Navicula lanceolata;NA009B;324;	NA009B
Diatom;Navicula;Navicula lanceolata;NA009B;326;	NA009B
Diatom;Navicula;Navicula lanceolata;NA009B;329;	NA009B
Diatom;Nitzschia;Nitzschia soratensis;NITZ-03;330;	NITZ-03
Diatom;Navicula;Navicula lanceolata;NA009B;331;	NA009B
Diatom;Nitzschia;Nitzschia soratensis;NITZ-03;332;	NITZ-03
Diatom;Achnanthidium;Achnanthidium minutissimum;ZZZ959;337;	ZZZ959
Diatom;Achnanthidium;Achnanthidium minutissimum;ZZZ959;342;	ZZZ959
Diatom;Fragilaria;Fragilaria;FR9999;343;	FR9999
Diatom;Ulnaria;Ulnaria ulna;ULNA-02;344;	ULNA-02
Diatom;Navicula;Navicula lanceolata;NA009B;353;	NA009B
Diatom;Ulnaria;Ulnaria ulna;ULNA-02;358;	ULNA-02
Diatom;Navicula;Navicula lanceolata;NA009B;363;	NA009B
Diatom;Navicula;Navicula gregaria;NA023A;369;	NA023A
Diatom;Encyonema;Encyonema minutum;EY011A;372;	EY011A
Diatom;Nitzschia;Nitzschia palea;NI009A;373;	NI009A
Diatom;Nitzschia;Nitzschia palea;NI009A;375;	NI009A
Diatom;Encyonema;Encyonema;EY9999;377;	EY9999
Diatom;Fragilaria;Fragilaria gracilis;FRAG-11;380;	FRAG-11
Diatom;Fragilaria;Fragilaria gracilis;FRAG-11;382;	FRAG-11
Diatom;Achnanthidium;Achnanthidium minutissimum;ZZZ959;391;	ZZZ959
Diatom;Achnanthes;Achnanthes pseudoswazi;AC004A;394;	AC004A
Diatom;Achnanthidium;Achnanthidium minutissimum;ZZZ959;398;	ZZZ959
Diatom;Encyonopsis;Encyonopsis falaisensis;ENCS-07;400;	ENCS-07
Diatom;Achnanthidium;Achnanthidium minutissimum;ZZZ959;407;	ZZZ959
Diatom;Fragilaria;Fragilaria gracilis;FRAG-11;409;	FRAG-11
Diatom;Achnanthidium;Achnanthidium minutissimum;ZZZ959;432;	ZZZ959
Diatom;Fragilaria;Fragilaria vaucheriae;FR007A;435;	FR007A
Diatom;Encyonema;Encyonema minutum;EY011A;445;	EY011A
Diatom;Achnanthidium;Achnanthidium minutissimum;ZZZ959;450;	ZZZ959
Diatom;Staurosira;Staurosira elliptica;SR002A;451;	SR002A
Diatom;Gomphonema;Gomphonema truncatum;GO023A;457;	GO023A
Diatom;Pinnularia;Pinnularia microstauron;PI011A;458;	PI011A
Diatom;Fragilaria;Fragilaria gracilis;FRAG-11;467;	FRAG-11
Diatom;Achnanthidium;Achnanthidium minutissimum;ZZZ959;468;	ZZZ959
Diatom;Nitzschia;Nitzschia frustulum;NI008A;469;	NI008A
Diatom;Nitzschia;Nitzschia dissipata;NI015A;470;	NI015A
Diatom;Eunotia;Eunotia bilunaris;EU070A;471;	EU070A
Diatom;Staurosira;Staurosira venter;STAU-03;475;	STAU-03
Diatom;Nitzschia;Nitzschia paleacea;NI033A;483;	NI033A
Diatom;Nitzschia;Nitzschia amphibia;NI014A;486;	NI014A
Diatom;Cyclotella;Cyclotella meneghiniana;CY003A;487;	CY003A
Diatom;Encyonema;Encyonema;EY9999;489;	EY9999
Diatom;Diatoma;Diatoma tenue;DT004A;494;	DT004A
Diatom;Staurosira;Staurosira venter;STAU-03;498;	STAU-03
Diatom;Gomphonema;Gomphonema parvulum;GO013A;499;	GO013A
Diatom;Navicula;Navicula radiosa;NA003A;500;	NA003A
Diatom;Nitzschia;Nitzschia amphibia;NI014A;503;	NI014A
Diatom;Adlafia;Adlafia bryophila;ADLA-01;507;	ADLA-01
Diatom;Staurosira;Staurosira venter;STAU-03;508;	STAU-03
Diatom;Staurosira;Staurosira venter;STAU-03;509;	STAU-03
Diatom;Fragilaria;Fragilaria gracilis;FRAG-11;511;	FRAG-11
Diatom;Fragilaria;Fragilaria capucina;FR009A;513;	FR009A
Diatom;Fragilaria;Fragilaria capucina;FR009A;514;	FR009A
Diatom;Melosira;Melosira varians;ME015A;523;	ME015A
Diatom;Cyclotella;Cyclotella meneghiniana;CY003A;529;	CY003A
Diatom;Thalassiosira;Thalassiosira weissfloggii;THAL-01;530;	THAL-01
Diatom;Navicula;Navicula gregaria;NA023A;536;	NA023A
Diatom;Navicula;Navicula lanceolata;NA009B;538;	NA009B
Diatom;Surirella;Surirella brebissonii;SU073A;541;	SU073A
Diatom;Gomphonema;Gomphonema parvulum;GO013A;543;	GO013A
Diatom;Achnanthidium;Achnanthidium minutissimum;ZZZ959;549;	ZZZ959
Diatom;Fragilaria;Fragilaria gracilis;FRAG-11;551;	FRAG-11
Diatom;Achnanthidium;Achnanthidium minutissimum;ZZZ959;559;	ZZZ959
Diatom;Gomphonema;Gomphonema parvulum;GO013A;568;	GO013A
Diatom;Gomphonema;Gomphonema;GO9999;569;	GO9999
Diatom;Gomphonema;Gomphonema minutum;GO050A;572;	GO050A
Diatom;Achnanthidium;Achnanthidium minutissimum;ZZZ959;574;	ZZZ959
Diatom;Fragilaria;Fragilaria rumpens;FRAG-12;575;	FRAG-12
Diatom;Gomphonema;Gomphonema minutum;GO050A;586;	GO050A
Diatom;Achnanthidium;Achnanthidium minutissimum;ZZZ959;587;	ZZZ959
Diatom;Gomphonema;Gomphonema parvulum;GO013A;588;	GO013A
Diatom;Eunotia;Eunotia minor;EU110A;590;	EU110A
Diatom;Eunotia;Eunotia exigua;EU009A;592;	EU009A
Diatom;Navicula;Navicula;NA9999;593;	NA9999
Diatom;Nitzschia;Nitzschia palea;NI009A;603;	NI009A
Diatom;Surirella;Surirella angusta;SU001A;604;	SU001A
Diatom;Encyonema;Encyonema silesiacum;EY016A;612;	EY016A
Diatom;Fragilaria;Fragilaria;FR9999;613;	FR9999
Diatom;Tabellaria;Tabellaria flocculosa;TA001A;614;	TA001A
Diatom;Gomphonema;Gomphonema acuminatum;GO006A;615;	GO006A
Diatom;Eunotia;Eunotia bilunaris;EU070A;617;	EU070A
Diatom;Fragilaria;Fragilaria capucina;FR009A;621;	FR009A
Diatom;Fragilaria;Fragilaria gracilis;FRAG-11;622;	FRAG-11
Diatom;Fragilaria;Fragilaria rumpens;FRAG-12;625;	FRAG-12
Diatom;Cyclotella;Cyclotella meneghiniana;CY003A;633;	CY003A
Diatom;Achnanthidium;Achnanthidium minutissimum;ZZZ959;634;	ZZZ959
Diatom;Melosira;Melosira varians;ME015A;641;	ME015A
Diatom;Fragilaria;Fragilaria gracilis;FRAG-11;643;	FRAG-11
Diatom;Pseudostaurosira;Pseudostaurosira brevistriata;PS001A;645;	PS001A
Diatom;Pseudostaurosira;Pseudostaurosira brevistriata;PS001A;647;	PS001A
Diatom;Cyclotella;Cyclotella meneghiniana;CY003A;648;	CY003A
Diatom;Nitzschia;Nitzschia dissipata;NI015A;649;	NI015A
Diatom;Ulnaria;Ulnaria acus;ULNA-01;651;	ULNA-01
Diatom;Gomphonema;Gomphonema acuminatum;GO006A;654;	GO006A
Diatom;Surirella;Surirella brebissonii;SU073A;655;	SU073A
Diatom;Cyclotella;Cyclotella meneghiniana;CY003A;656;	CY003A
Diatom;Ulnaria;Ulnaria ulna;ULNA-02;657;	ULNA-02
Diatom;Gomphonema;Gomphonema parvulum;GO013A;658;	GO013A
Diatom;Diatoma;Diatoma vulgare;DT003A;659;	DT003A
Diatom;Nitzschia;Nitzschia palea;NI009A;660;	NI009A
Diatom;Gomphonema;Gomphonema truncatum;GO023A;661;	GO023A
Diatom;Fragilaria;Fragilaria;FR9999;662;	FR9999
Diatom;Ulnaria;Ulnaria ulna;ULNA-02;665;	ULNA-02
Diatom;Encyonema;Encyonema;EY9999;667;	EY9999
Diatom;Ulnaria;Ulnaria acus;ULNA-01;668;	ULNA-01
Diatom;Nitzschia;Nitzschia palea;NI009A;670;	NI009A
Diatom;Gomphonema;Gomphonema parvulum;GO013A;671;	GO013A
Diatom;Navicula;Navicula radiosa;NA003A;673;	NA003A
Diatom;Nitzschia;Nitzschia paleacea;NI033A;675;	NI033A
Diatom;Achnanthidium;Achnanthidium pyrenaicum;ACHD-02;676;	ACHD-02
Diatom;Gomphonema;Gomphonema parvulum;GO013A;678;	GO013A
Diatom;Amphora;Amphora pediculus;AM012B;679;	AM012B
Diatom;Navicula;Navicula radiosa;NA003A;680;	NA003A
Diatom;Staurosira;Staurosira elliptica;SR002A;681;	SR002A
